"행정구역","2020년06월_계_총인구수","2020년06월_계_연령구간인구수","2020년06월_계_0~9세","2020년06월_계_10~19세","2020년06월_계_20~29세","2020년06월_계_30~39세","2020년06월_계_40~49세","2020년06월_계_50~59세","2020년06월_계_60~69세","2020년06월_계_70~79세","2020년06월_계_80~89세","2020년06월_계_90~99세","2020년06월_계_100세 이상","2020년06월_남_총인구수","2020년06월_남_연령구간인구수","2020년06월_남_0~9세","2020년06월_남_10~19세","2020년06월_남_20~29세","2020년06월_남_30~39세","2020년06월_남_40~49세","2020년06월_남_50~59세","2020년06월_남_60~69세","2020년06월_남_70~79세","2020년06월_남_80~89세","2020년06월_남_90~99세","2020년06월_남_100세 이상","2020년06월_여_총인구수","2020년06월_여_연령구간인구수","2020년06월_여_0~9세","2020년06월_여_10~19세","2020년06월_여_20~29세","2020년06월_여_30~39세","2020년06월_여_40~49세","2020년06월_여_50~59세","2020년06월_여_60~69세","2020년06월_여_70~79세","2020년06월_여_80~89세","2020년06월_여_90~99세","2020년06월_여_100세 이상"
"서울특별시  (1100000000)","9,720,846","9,720,846","646,238","800,377","1,465,500","1,496,864","1,547,624","1,532,341","1,217,518","697,099","269,405","41,346","6,534","4,732,275","4,732,275","331,870","410,236","713,039","749,157","766,587","752,182","575,000","317,745","103,967","10,782","1,710","4,988,571","4,988,571","314,368","390,141","752,461","747,707","781,037","780,159","642,518","379,354","165,438","30,564","4,824"
"서울특별시 종로구 (1111000000)","150,383","150,383","7,896","11,309","23,446","20,146","22,641","25,662","19,556","12,595","5,812","1,053","267","73,288","73,288","3,996","5,705","11,564","10,023","11,009","12,907","9,690","5,612","2,322","372","88","77,095","77,095","3,900","5,604","11,882","10,123","11,632","12,755","9,866","6,983","3,490","681","179"
"서울특별시 종로구 청운효자동(1111051500)","12,609","12,609","870","1,213","1,613","1,729","2,190","2,005","1,368","1,022","505","75","19","5,885","5,885","459","649","792","809","973","947","599","420","205","29","3","6,724","6,724","411","564","821","920","1,217","1,058","769","602","300","46","16"
"서울특별시 종로구 사직동(1111053000)","9,506","9,506","592","690","1,251","1,411","1,490","1,549","1,181","775","457","91","19","4,281","4,281","291","316","573","622","659","708","548","332","192","36","4","5,225","5,225","301","374","678","789","831","841","633","443","265","55","15"
"서울특별시 종로구 삼청동(1111054000)","2,707","2,707","105","205","343","371","369","427","406","290","153","30","8","1,301","1,301","48","119","186","177","179","209","184","135","51","12","1","1,406","1,406","57","86","157","194","190","218","222","155","102","18","7"
"서울특별시 종로구 부암동(1111055000)","10,050","10,050","587","935","1,377","1,215","1,657","1,716","1,281","805","390","76","11","4,769","4,769","302","494","714","560","776","775","607","361","156","21","3","5,281","5,281","285","441","663","655","881","941","674","444","234","55","8"
"서울특별시 종로구 평창동(1111056000)","18,519","18,519","1,199","1,658","2,509","2,246","2,801","3,325","2,437","1,409","754","156","25","8,671","8,671","615","855","1,290","1,049","1,230","1,501","1,163","625","292","43","8","9,848","9,848","584","803","1,219","1,197","1,571","1,824","1,274","784","462","113","17"
"서울특별시 종로구 무악동(1111057000)","8,645","8,645","725","1,023","944","974","1,568","1,402","989","652","302","49","17","4,023","4,023","322","481","429","440","747","732","454","262","127","17","12","4,622","4,622","403","542","515","534","821","670","535","390","175","32","5"
"서울특별시 종로구 교남동(1111058000)","10,534","10,534","899","860","1,292","1,794","1,849","1,602","1,126","733","316","48","15","4,890","4,890","462","414","604","844","868","766","490","296","127","14","5","5,644","5,644","437","446","688","950","981","836","636","437","189","34","10"
"서울특별시 종로구 가회동(1111060000)","4,354","4,354","217","345","491","580","767","702","588","447","170","37","10","2,015","2,015","109","183","230","277","361","324","266","183","71","7","4","2,339","2,339","108","162","261","303","406","378","322","264","99","30","6"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,248","7,248","196","219","842","922","953","1,388","1,395","841","362","91","39","4,349","4,349","104","117","438","524","579","977","886","502","170","40","12","2,899","2,899","92","102","404","398","374","411","509","339","192","51","27"
"서울특별시 종로구 종로5.6가동(1111063000)","5,323","5,323","117","238","1,117","692","623","975","773","540","200","39","9","2,887","2,887","60","121","572","410","362","551","445","264","85","13","4","2,436","2,436","57","117","545","282","261","424","328","276","115","26","5"
"서울특별시 종로구 이화동(1111064000)","7,774","7,774","267","455","1,708","1,278","1,044","1,129","915","612","305","48","13","3,661","3,661","137","217","806","607","519","555","438","254","107","18","3","4,113","4,113","130","238","902","671","525","574","477","358","198","30","10"
"서울특별시 종로구 혜화동(1111065000)","16,868","16,868","714","1,378","4,487","2,134","2,281","2,309","1,584","1,247","622","90","22","8,164","8,164","342","704","2,234","1,129","1,099","1,108","767","502","243","28","8","8,704","8,704","372","674","2,253","1,005","1,182","1,201","817","745","379","62","14"
"서울특별시 종로구 창신제1동(1111067000)","5,162","5,162","149","244","616","516","664","1,158","994","559","208","45","9","2,803","2,803","80","126","345","296","344","657","578","277","79","20","1","2,359","2,359","69","118","271","220","320","501","416","282","129","25","8"
"서울특별시 종로구 창신제2동(1111068000)","8,394","8,394","256","525","1,189","920","1,160","1,844","1,313","821","305","48","13","4,315","4,315","146","270","639","547","611","967","645","347","122","19","2","4,079","4,079","110","255","550","373","549","877","668","474","183","29","11"
