,EMD_CD,Address
0,11110101,서울특별시 종로구 청운동
1,11110102,서울특별시 종로구 신교동
2,11110103,서울특별시 종로구 궁정동
3,11110104,서울특별시 종로구 효자동
4,11110105,서울특별시 종로구 창성동
5,11110106,서울특별시 종로구 통의동
6,11110107,서울특별시 종로구 적선동
7,11110108,서울특별시 종로구 통인동
8,11110109,서울특별시 종로구 누상동
9,11110110,서울특별시 종로구 누하동
10,11110111,서울특별시 종로구 옥인동
11,11110112,서울특별시 종로구 체부동
12,11110113,서울특별시 종로구 필운동
13,11110114,서울특별시 종로구 내자동
14,11110115,서울특별시 종로구 사직동
15,11110116,서울특별시 종로구 도렴동
16,11110117,서울특별시 종로구 당주동
17,11110118,서울특별시 종로구 내수동
18,11110119,서울특별시 종로구 세종로
19,11110120,서울특별시 종로구 신문로1가
20,11110121,서울특별시 종로구 신문로2가
21,11110122,서울특별시 종로구 청진동
22,11110123,서울특별시 종로구 서린동
23,11110124,서울특별시 종로구 수송동
24,11110125,서울특별시 종로구 중학동
25,11110126,서울특별시 종로구 종로1가
26,11110127,서울특별시 종로구 공평동
27,11110128,서울특별시 종로구 관훈동
28,11110129,서울특별시 종로구 견지동
29,11110130,서울특별시 종로구 와룡동
30,11110131,서울특별시 종로구 권농동
31,11110132,서울특별시 종로구 운니동
32,11110133,서울특별시 종로구 익선동
33,11110134,서울특별시 종로구 경운동
34,11110135,서울특별시 종로구 관철동
35,11110136,서울특별시 종로구 인사동
36,11110137,서울특별시 종로구 낙원동
37,11110138,서울특별시 종로구 종로2가
38,11110139,서울특별시 종로구 팔판동
39,11110140,서울특별시 종로구 삼청동
40,11110141,서울특별시 종로구 안국동
41,11110142,서울특별시 종로구 소격동
42,11110143,서울특별시 종로구 화동
43,11110144,서울특별시 종로구 사간동
44,11110145,서울특별시 종로구 송현동
45,11110146,서울특별시 종로구 가회동
46,11110147,서울특별시 종로구 재동
47,11110148,서울특별시 종로구 계동
48,11110149,서울특별시 종로구 원서동
49,11110150,서울특별시 종로구 훈정동
50,11110151,서울특별시 종로구 묘동
51,11110152,서울특별시 종로구 봉익동
52,11110153,서울특별시 종로구 돈의동
53,11110154,서울특별시 종로구 장사동
54,11110155,서울특별시 종로구 관수동
55,11110156,서울특별시 종로구 종로3가
56,11110157,서울특별시 종로구 인의동
57,11110158,서울특별시 종로구 예지동
58,11110159,서울특별시 종로구 원남동
59,11110160,서울특별시 종로구 연지동
60,11110161,서울특별시 종로구 종로4가
61,11110162,서울특별시 종로구 효제동
62,11110163,서울특별시 종로구 종로5가
63,11110164,서울특별시 종로구 종로6가
64,11110165,서울특별시 종로구 이화동
65,11110166,서울특별시 종로구 연건동
66,11110167,서울특별시 종로구 충신동
67,11110168,서울특별시 종로구 동숭동
68,11110169,서울특별시 종로구 혜화동
69,11110170,서울특별시 종로구 명륜1가
70,11110171,서울특별시 종로구 명륜2가
71,11110172,서울특별시 종로구 명륜4가
72,11110173,서울특별시 종로구 명륜3가
73,11110174,서울특별시 종로구 창신동
74,11110175,서울특별시 종로구 숭인동
75,11110176,서울특별시 종로구 교남동
76,11110177,서울특별시 종로구 평동
77,11110178,서울특별시 종로구 송월동
78,11110179,서울특별시 종로구 홍파동
79,11110180,서울특별시 종로구 교북동
80,11110181,서울특별시 종로구 행촌동
81,11110182,서울특별시 종로구 구기동
82,11110183,서울특별시 종로구 평창동
83,11110184,서울특별시 종로구 부암동
84,11110185,서울특별시 종로구 홍지동
85,11110186,서울특별시 종로구 신영동
86,11110187,서울특별시 종로구 무악동
87,11140101,서울특별시 중구 무교동
88,11140102,서울특별시 중구 다동
89,11140103,서울특별시 중구 태평로1가
90,11140104,서울특별시 중구 을지로1가
91,11140105,서울특별시 중구 을지로2가
92,11140106,서울특별시 중구 남대문로1가
93,11140107,서울특별시 중구 삼각동
94,11140108,서울특별시 중구 수하동
95,11140109,서울특별시 중구 장교동
96,11140110,서울특별시 중구 수표동
97,11140111,서울특별시 중구 소공동
98,11140112,서울특별시 중구 남창동
99,11140113,서울특별시 중구 북창동
100,11140114,서울특별시 중구 태평로2가
101,11140115,서울특별시 중구 남대문로2가
102,11140116,서울특별시 중구 남대문로3가
103,11140117,서울특별시 중구 남대문로4가
104,11140118,서울특별시 중구 남대문로5가
105,11140119,서울특별시 중구 봉래동1가
106,11140120,서울특별시 중구 봉래동2가
107,11140121,서울특별시 중구 회현동1가
108,11140122,서울특별시 중구 회현동2가
109,11140123,서울특별시 중구 회현동3가
110,11140124,서울특별시 중구 충무로1가
111,11140125,서울특별시 중구 충무로2가
112,11140126,서울특별시 중구 명동1가
113,11140127,서울특별시 중구 명동2가
114,11140128,서울특별시 중구 남산동1가
115,11140129,서울특별시 중구 남산동2가
116,11140130,서울특별시 중구 남산동3가
117,11140131,서울특별시 중구 저동1가
118,11140132,서울특별시 중구 충무로4가
119,11140133,서울특별시 중구 충무로5가
120,11140134,서울특별시 중구 인현동2가
121,11140135,서울특별시 중구 예관동
122,11140136,서울특별시 중구 묵정동
123,11140137,서울특별시 중구 필동1가
124,11140138,서울특별시 중구 필동2가
125,11140139,서울특별시 중구 필동3가
126,11140140,서울특별시 중구 남학동
127,11140141,서울특별시 중구 주자동
128,11140142,서울특별시 중구 예장동
129,11140143,서울특별시 중구 장충동1가
130,11140144,서울특별시 중구 장충동2가
131,11140145,서울특별시 중구 광희동1가
132,11140146,서울특별시 중구 광희동2가
133,11140147,서울특별시 중구 쌍림동
134,11140148,서울특별시 중구 을지로6가
135,11140149,서울특별시 중구 을지로7가
136,11140150,서울특별시 중구 을지로4가
137,11140151,서울특별시 중구 을지로5가
138,11140152,서울특별시 중구 주교동
139,11140153,서울특별시 중구 방산동
140,11140154,서울특별시 중구 오장동
