,SIG_CD,Address
0,11110,서울특별시 종로구
1,11140,서울특별시 중구
2,11170,서울특별시 용산구
3,11200,서울특별시 성동구
4,11215,서울특별시 광진구
5,11230,서울특별시 동대문구
6,11260,서울특별시 중랑구
7,11290,서울특별시 성북구
8,11305,서울특별시 강북구
9,11320,서울특별시 도봉구
10,11350,서울특별시 노원구
11,11380,서울특별시 은평구
12,11410,서울특별시 서대문구
13,11440,서울특별시 마포구
14,11470,서울특별시 양천구
15,11500,서울특별시 강서구
16,11530,서울특별시 구로구
17,11545,서울특별시 금천구
18,11560,서울특별시 영등포구
19,11590,서울특별시 동작구
20,11620,서울특별시 관악구
21,11650,서울특별시 서초구
22,11680,서울특별시 강남구
23,11710,서울특별시 송파구
24,11740,서울특별시 강동구
25,26110,부산광역시 중구
26,26140,부산광역시 서구
27,26170,부산광역시 동구
28,26200,부산광역시 영도구
29,26230,부산광역시 부산진구
30,26260,부산광역시 동래구
31,26290,부산광역시 남구
32,26320,부산광역시 북구
33,26350,부산광역시 해운대구
34,26380,부산광역시 사하구
35,26410,부산광역시 금정구
36,26440,부산광역시 강서구
37,26470,부산광역시 연제구
38,26500,부산광역시 수영구
39,26530,부산광역시 사상구
40,26710,부산광역시 기장군
41,27110,대구광역시 중구
42,27140,대구광역시 동구
43,27170,대구광역시 서구
44,27200,대구광역시 남구
45,27230,대구광역시 북구
46,27260,대구광역시 수성구
47,27290,대구광역시 달서구
48,27710,대구광역시 달성군
49,28110,인천광역시 중구
50,28140,인천광역시 동구
51,28177,인천광역시 미추홀구
52,28185,인천광역시 연수구
53,28200,인천광역시 남동구
54,28237,인천광역시 부평구
55,28245,인천광역시 계양구
56,28260,인천광역시 서구
57,28710,인천광역시 강화군
58,28720,인천광역시 옹진군
59,29110,광주광역시 동구
60,29140,광주광역시 서구
61,29155,광주광역시 남구
62,29170,광주광역시 북구
63,29200,광주광역시 광산구
64,30110,대전광역시 동구
65,30140,대전광역시 중구
66,30170,대전광역시 서구
67,30200,대전광역시 유성구
68,30230,대전광역시 대덕구
69,31110,울산광역시 중구
70,31140,울산광역시 남구
71,31170,울산광역시 동구
72,31200,울산광역시 북구
73,31710,울산광역시 울주군
74,41110,경기도 수원시
75,41130,경기도 성남시
76,41150,경기도 의정부시
77,41170,경기도 안양시
78,41190,경기도 부천시
79,41210,경기도 광명시
80,41220,경기도 평택시
81,41250,경기도 동두천시
82,41270,경기도 안산시
83,41280,경기도 고양시
84,41290,경기도 과천시
85,41310,경기도 구리시
86,41360,경기도 남양주시
87,41370,경기도 오산시
88,41390,경기도 시흥시
89,41410,경기도 군포시
90,41430,경기도 의왕시
91,41450,경기도 하남시
92,41460,경기도 용인시
93,41480,경기도 파주시
94,41500,경기도 이천시
95,41550,경기도 안성시
96,41570,경기도 김포시
97,41590,경기도 화성시
98,41610,경기도 광주시
99,41630,경기도 양주시
100,41650,경기도 포천시
101,41670,경기도 여주시
102,41800,경기도 연천군
